Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
"Schönleber, Kevin; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Fault ride–through of unbalanced ac grid faults in HVdc–connected offshore wind power plants					2017	
"Agbemuko, Adedotun J; Dom?nguez-Garc?a, José Luis; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Harmonic Stability and Interactions in Meshed VSC-HVDC Dominated Power Systems	"Proceedings of the 16th International Wind Integration Workshop, Berlin, Germany"			25-27	2017	
"Ferrer-San-José, Ricard; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Implementation of a power hardware in the loop platform with a real time power flow calculation using PSS\E	2017 19th European Conference on Power Electronics and Applications (EPE'17 ECCE Europe)			P. 1-P. 8	2017	IEEE
"Schönleber, Kevin; Prieto-Araujo, Eduardo; Ratés-Palau, Sergi; Gomis-Bellmunt, Oriol; "	Extended current limitation for unbalanced faults in MMC-HVDC-connected wind power plants	IEEE Transactions on Power Delivery	33	4	1875-1884	2017	IEEE
"Prieto-Araujo, Eduardo; Sánchez-Sánchez, Enric; Galceran-Arellano, Samuel; Gomis-Bellmunt, Oriol; "	Interaction Analysis between MMC-Based VSC-HVDC Links and DFIG-Based WPPs within the AC Network					2017	
"Sánchez-Sánchez, Enric; Prieto-Araujo, Eduardo; Junyent-Ferré, Adrià; Gomis-Bellmunt, Oriol; "	Analysis of MMC energy-based control structures for VSC-HVDC links	IEEE Journal of Emerging and Selected Topics in Power Electronics	6	3	1065-1076	2018	IEEE
"Mokhberdoran, Ataollah; Sau-Bassols, Joan; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; Silva, Nuno; Carvalho, Adriano; "	Fault mode operation strategies for dual H-bridge current flow controller in meshed HVDC grid	Electric Power Systems Research	160		163-172	2018	Elsevier
"Agbemuko, Adedotun J; Domínguez-García, José Luis; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Impedance Modelling and Parametric Sensitivity of a VSC-HVDC System: New Insights on Resonances and Interactions	Energies	11	4	845	2018	Multidisciplinary Digital Publishing Institute
"Sau-Bassols, Joan; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; Baraciarte, Roberto Alves; Nami, Alireza; "	Transformerless DC/DC converter based on the autotransformer concept for the interconnection of HVDC grids	2018 Thirteenth International Conference on Ecological Vehicles and Renewable Energies (EVER)			01-Jun	2018	IEEE
"Collados-Rodr?guez, Carlos; Prieto-Araujo, Eduardo; Cheah-Mane, Marc; Ferrer-San-José, Ricard; Gomis-Bellmunt, Oriol; Sanz, Silvia; Longás, Carmen; Cordón, Antonio; Coronado, Luis; "	Interaction Analysis in Islanded Power Systems with HVDC Interconnections					2018	
