"Prieto-Araujo, Eduardo; Cheah-Mañé, Marc; Villafafila-Robles, Roberto; Gomis-Bellmunt, Oriol; Junyent-Ferré, Adrià; ",Development of a laboratory platform for testing new solutions to integrate renewable energy sources in power systems,2013 15th European Conference on Power Electronics and Applications (EPE),,,1-10,2013,IEEE
"Junyent-Ferré, Adrià; Cheah-Mañé, Marc; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; ",Single phase to balanced three phase load converter control,2013 15th European Conference on Power Electronics and Applications (EPE),,,1-7,2013,IEEE
"Egea, Agusti; Ekanayake, J; Gomis-Bellmunt, O; Jenkins, N; Junyent-Ferré, A; ",Operation and control of VSC-HVDC multiterminal grids for offshore wind,,,,,2013,
"Egea-Alvarez, Agustí; Bianchi, Fernando; Junyent-Ferré, Adrià; Gross, Gabriel; Gomis-Bellmunt, Oriol; ",Voltage control of multiterminal VSC-HVDC transmission systems for offshore wind power plants: Design and implementation in a scaled platform,IEEE Transactions on Industrial Electronics,60,6,2381-2391,2013,IEEE
"Domínguez-García, José Luis; Gomis-Bellmunt, Oriol; Trilla-Romero, Lluís; Junyent-Ferré, Adrià; ",Indirect vector control of a squirrel cage induction generator wind turbine,Computers & Mathematics with Applications,64,2,102-114,2012,Pergamon
"Egea-Alvarez, Agustí; Junyent-Ferré, Adria; Gomis-Bellmunt, Oriol; ",Active and Reactive Power Control of Grid Connected Distributed Generation Systems,Modeling and Control of Sustainable Power Systems,,,47-81,2012,Springer
"Bianchi, Fernando D; Egea-Alvarez, Agustí; Junyent-Ferré, Adrià; Gomis-Bellmunt, Oriol; ",Optimal control of voltage source converters under power system faults,Control Engineering Practice,20,5,539-546,2012,Pergamon
"Egea-Alvarez, Agustí; Bianchi, Fernando; Junyent-Ferre, Adria; Gross, Gabriel; Gomis-Bellmunt, Oriol; ",Experimental implementation of a voltage control for a Multiterminal VSC-HVDC offshore transmission system,2012 3rd IEEE PES Innovative Smart Grid Technologies Europe (ISGT Europe),,,1-7,2012,IEEE
"Egea, A; Gomis-Bellmunt, O; Junyent-Ferré, A; ",Active and reactive power control of grid connected distributed generation systems,,,,,2012,
"Prieto-Araujo, Eduardo; Bianchi, Fernando D; Junyent-Ferré, Adrià; Gomis-Bellmunt, Oriol; ",Methodology for droop control dynamic analysis of multiterminal VSC-HVDC grids for offshore wind farms,"Power Delivery, IEEE Transactions on",26,4,2476-2485,2011,IEEE
